x,y,t,u
-0.125,-0.4375,0.0,1.834105040778516e-12
-0.125,-0.375,0.0,3.341664338491134e-10
-0.125,-0.3125,0.0,9.868659564312936e-10
-0.125,-0.25,0.0,1.232282339448307e-07
-0.125,-0.1875,0.0,4.302359824589766e-06
-0.125,-0.125,0.0,1.6831884057200725e-05
-0.125,-0.0625,0.0,0.0003820769101946054
-0.125,0.0,0.0,0.0009191252284801992
-0.125,0.0625,0.0,0.01043630053797962
-0.125,0.125,0.0,0.038539052188582695
-0.125,0.1875,0.0,0.104798353724667
-0.125,0.25,0.0,0.23916953106639782
-0.125,0.3125,0.0,0.4027659610579998
-0.125,0.375,0.0,0.5018527750801178
-0.125,0.4375,0.0,0.492343233419316
-0.125,0.5,0.0,0.37080158199449936
-0.125,0.5625,0.0,0.20290575355530227
-0.125,0.625,0.0,0.08719160219538416
-0.125,0.6875,0.0,0.024182438707365982
-0.125,0.75,0.0,0.0045345354035447785
-0.125,0.8125,0.0,0.0006502729604857573
-0.125,0.875,0.0,7.84496466526702e-05
-0.125,0.9375,0.0,7.115550354587695e-06
-0.125,1.0,0.0,3.083321645174631e-07
-0.0625,-1.0,0.0,7.046993921692179e-35
-0.0625,-0.9375,0.0,3.1278223545441546e-31
-0.0625,-0.875,0.0,9.176912161357499e-29
-0.0625,-0.8125,0.0,2.997082856286919e-26
-0.0625,-0.75,0.0,1.4059623274819828e-23
-0.0625,-0.6875,0.0,8.24827217486553e-21
-0.0625,-0.625,0.0,4.803578447015246e-18
-0.0625,-0.5625,0.0,1.9338036625551123e-15
-0.0625,-0.5,0.0,6.691909583664882e-15
-0.0625,-0.4375,0.0,2.613702248411928e-12
-0.0625,-0.375,0.0,4.762058552134449e-10
-0.0625,-0.3125,0.0,1.406339174614995e-09
-0.0625,-0.25,0.0,1.7560712443858833e-07
-0.0625,-0.1875,0.0,6.131103343042042e-06
-0.0625,-0.125,0.0,2.3986376040186142e-05
-0.0625,-0.0625,0.0,0.0005444809632157357
-0.0625,0.0,0.0,0.0013098048491438198
-0.0625,0.0625,0.0,0.014872311876773216
-0.0625,0.125,0.0,0.054920304517677404
-0.0625,0.1875,0.0,0.1493435145043625
-0.0625,0.25,0.0,0.3408299564099823
-0.0625,0.3125,0.0,0.5739640176520343
-0.0625,0.375,0.0,0.7151682686842731
-0.0625,0.4375,0.0,0.7016166400329202
-0.0625,0.5,0.0,0.5284129900010224
-0.0625,0.5625,0.0,0.2891520455437495
-0.0625,0.625,0.0,0.12425290898496255
-0.0625,0.6875,0.0,0.03446132746829888
-0.0625,0.75,0.0,0.006461966526583304
-0.0625,0.8125,0.0,0.000926675332717952
-0.0625,0.875,0.0,0.00011179513347619999
-0.0625,0.9375,0.0,1.0140057165199194e-05
-0.0625,1.0,0.0,4.3939057673323724e-07
0.0,-1.0,0.0,8.939487445212932e-35
0.0,-0.9375,0.0,3.967809392205292e-31
0.0,-0.875,0.0,1.1641402272215655e-28
0.0,-0.8125,0.0,3.801959369308813e-26
0.0,-0.75,0.0,1.7835381603322668e-23
0.0,-0.6875,0.0,1.0463372946148884e-20
0.0,-0.625,0.0,6.093595325377658e-18
0.0,-0.5625,0.0,2.4531330316185477e-15
0.0,-0.5,0.0,8.489044033871869e-15
0.0,-0.4375,0.0,3.315620631270904e-12
0.0,-0.375,0.0,6.040925125411838e-10
0.0,-0.3125,0.0,1.7840162110091604e-09
0.0,-0.25,0.0,2.2276699847525115e-07
0.0,-0.1875,0.0,7.777631422628818e-06
0.0,-0.125,0.0,3.0427996653629965e-05
0.0,-0.0625,0.0,0.0006907031265972371
0.0,0.0,0.0,0.0016615572731739415
0.0,0.0625,0.0,0.01886632041705808
0.0,0.125,0.0,0.06966933392858032
